Name,ApplicableClasses
Pset_ControllerTypeProportional,IfcControllerType
Pset_ControllerTypeTwoPosition,IfcController
Pset_ControllerTypeTwoPosition,IfcControllerType
Pset_CooledBeamPHistory,IfcCooledBeam
Pset_CooledBeamPHistoryActive,IfcCooledBeam
Pset_CooledBeamTypeActive,IfcCooledBeam
Pset_CooledBeamTypeActive,IfcCooledBeamType
Pset_CooledBeamTypeCommon,IfcCooledBeam
Pset_CooledBeamTypeCommon,IfcCooledBeamType
Pset_CoolingTowerPHistory,IfcCoolingTower
Pset_CoolingTowerTypeCommon,IfcCoolingTower
Pset_CoolingTowerTypeCommon,IfcCoolingTowerType
Pset_CourseApplicationConditions,IfcCourse
Pset_CourseApplicationConditions,IfcCourseType
Pset_CourseCommon,IfcCourse
Pset_CourseCommon,IfcCourseType
Pset_CoveringCommon,IfcCovering
Pset_CoveringCommon,IfcCoveringType
Pset_CoveringFlooring,IfcCovering
Pset_CoveringFlooring,IfcCoveringType
Pset_CoveringTypeMembrane,IfcCovering
Pset_CoveringTypeMembrane,IfcCoveringType
Pset_CurrentInstrumentTransformer,IfcFlowInstrument
Pset_CurrentInstrumentTransformer,IfcFlowInstrument
Pset_CurrentInstrumentTransformer,IfcFlowInstrumentType
Pset_CurrentInstrumentTransformer,IfcFlowInstrumentType
Pset_CurtainWallCommon,IfcCurtainWall
Pset_CurtainWallCommon,IfcCurtainWallType
Pset_DamperOccurrence,IfcDamper
Pset_DamperPHistory,IfcDamper
Pset_DamperTypeCommon,IfcDamper
Pset_DamperTypeCommon,IfcDamperType
Pset_DamperTypeControlDamper,IfcDamper
Pset_DamperTypeControlDamper,IfcDamperType
Pset_DamperTypeFireDamper,IfcDamper
Pset_DamperTypeFireDamper,IfcDamperType
Pset_DamperTypeFireSmokeDamper,IfcDamper
Pset_DamperTypeFireSmokeDamper,IfcDamperType
Pset_DamperTypeSmokeDamper,IfcDamper
Pset_DamperTypeSmokeDamper,IfcDamperType
Pset_DataTransmissionUnit,IfcCommunicationsAppliance
Pset_DataTransmissionUnit,IfcCommunicationsApplianceType
Pset_DiscreteAccessoryColumnShoe,IfcDiscreteAccessory
Pset_DiscreteAccessoryColumnShoe,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryCornerFixingPlate,IfcDiscreteAccessory
Pset_DiscreteAccessoryCornerFixingPlate,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryDiagonalTrussConnector,IfcDiscreteAccessory
Pset_DiscreteAccessoryDiagonalTrussConnector,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryEdgeFixingPlate,IfcDiscreteAccessory
Pset_DiscreteAccessoryEdgeFixingPlate,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryFixingSocket,IfcDiscreteAccessory
Pset_DiscreteAccessoryFixingSocket,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryLadderTrussConnector,IfcDiscreteAccessory
Pset_DiscreteAccessoryLadderTrussConnector,IfcDiscreteAccessoryType
