Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_ReinforcingElementBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcReinforcingElement', 'IfcReinforcingElementType']","IfcReinforcingElement,IfcReinforcingElementType","[{'property_name': 'Count', 'property_type': 'IfcQuantityCount'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Weight', 'property_type': 'IfcQuantityWeight'}]"
Qto_RoofBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcRoof', 'IfcRoofType']","IfcRoof,IfcRoofType","[{'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'ProjectedArea', 'property_type': 'IfcQuantityArea'}]"
Qto_SanitaryTerminalBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSanitaryTerminal', 'IfcSanitaryTerminalType']","IfcSanitaryTerminal,IfcSanitaryTerminalType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SensorBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSensor', 'IfcSensorType']","IfcSensor,IfcSensorType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SignalBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSignal', 'IfcSignalType']","IfcSignal,IfcSignalType","[{'property_name': 'Weight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SignBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSign', 'IfcSignType']","IfcSign,IfcSignType","[{'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Thickness', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Weight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SiteBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSite'],IfcSite,"[{'property_name': 'GrossPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}]"
Qto_SlabBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSlab', 'IfcSlabType']","IfcSlab,IfcSlabType","[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SleeperBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcTrackElement/SLEEPER', 'IfcTrackElementType/SLEEPER']","IfcTrackElement/SLEEPER,IfcTrackElementType/SLEEPER","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}]"
Qto_SolarDeviceBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSolarDevice', 'IfcSolarDeviceType']","IfcSolarDevice,IfcSolarDeviceType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}]"
Qto_SpaceBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSpace', 'IfcSpaceType']","IfcSpace,IfcSpaceType","[{'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'FinishCeilingHeight', 'property_type': 'IfcQuantityLength'}, {'property_name': 'FinishFloorHeight', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'NetPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWallArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetWallArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossCeilingArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCeilingArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_SpaceHeaterBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSpaceHeater', 'IfcSpaceHeaterType']","IfcSpaceHeater,IfcSpaceHeaterType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SpatialZoneBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSpatialZone', 'IfcSpatialZoneType']","IfcSpatialZone,IfcSpatialZoneType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}]"
Qto_StackTerminalBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcStackTerminal', 'IfcStackTerminalType']","IfcStackTerminal,IfcStackTerminalType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_StairFlightBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcStairFlight', 'IfcStairFlightType']","IfcStairFlight,IfcStairFlightType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_SurfaceFeatureBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSurfaceFeature'],IfcSurfaceFeature,"[{'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}]"
Qto_SwitchingDeviceBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSwitchingDevice', 'IfcSwitchingDeviceType']","IfcSwitchingDevice,IfcSwitchingDeviceType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
