Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_CableCarrierFittingBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCableCarrierFitting'],IfcCableCarrierFitting,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CableCarrierSegmentBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCableCarrierSegment'],IfcCableCarrierSegment,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
Qto_CableFittingBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCableFitting'],IfcCableFitting,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CableSegmentBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCableSegment'],IfcCableSegment,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
Qto_CommunicationsApplianceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCommunicationsAppliance'],IfcCommunicationsAppliance,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ElectricApplianceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcElectricAppliance'],IfcElectricAppliance,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ElectricDistributionBoardBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcElectricDistributionBoard'],IfcElectricDistributionBoard,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NumberOfCircuits', 'property_type': 'IfcQuantityCount'}]"
Qto_ElectricFlowStorageDeviceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcElectricFlowStorageDevice'],IfcElectricFlowStorageDevice,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ElectricGeneratorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcElectricGenerator'],IfcElectricGenerator,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ElectricMotorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcElectricMotor'],IfcElectricMotor,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ElectricTimeControlBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcElectricTimeControl'],IfcElectricTimeControl,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_JunctionBoxBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcJunctionBox'],IfcJunctionBox,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NumberOfGangs', 'property_type': 'IfcQuantityCount'}]"
Qto_LampBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcLamp'],IfcLamp,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
